# sha1,mapper,basic_or_none,font  basic+e=VG8020 basic+j=HB-10 none+e=C-BIOS none+j=C-BIOS JP
44e0dd215b2a9f0770dd76fb49187c05b083eed9,NONE,none,e
45bedc4cbdeac66c7df59e9e599195c778d86a92,NONE,none,e
46c98a3143f5a80b2090311a770f9b73000881c0,ASCII16SRAM2,none,e
47370bec7ca1f0615a54eda548b07fbc0c7ef398,NONE,none,e
47642bb0a2c46a82100543dc3970d0a49fc53b69,NONE,none,e
47a9d9a24e4fc6f9467c6e7d61a02d45f5a753ef,NONE,none,e
47cc280f0d8b0611fdb1069e6fd7b854cae93546,NONE,none,e
4811956f878c3e03da46317f787cdc4bebc86f47,NONE,none,e
4880bf34f1c86fff5456ec2b4cf70d02339e2caa,NONE,none,e
488f01314da5644fbf2ca938c6f9720ef2b0d0f9,MIRRORED,none,e
48b0c2ff1f1e407cc44394219f7b3878efaa919f,NONE,none,e
49f1cc4b387ec870bc39646f84bec921ca076c5d,NONE,none,e
4a99f2444f29c2b642efd6f084081d6fd96bfa9b,NONE,none,e
4ab7b2030d022f5486abaab22aaeaf8aa23e05f3,NONE,none,e
4b4508131dca6d811694ae6379f41364c477de58,NONE,none,e
4b84465c2faa802bfd5f772118c4d31f993f29d0,NONE,none,e
4be8371f3b03e70ddaca495958345f3c4f8e2d36,NONE,none,e
4c8ea05c09b40c41888fa18db065575a317fda16,NONE,none,e
4ce41fcc1a603411ec4e99556409c442078f0ecf,NONE,none,e
4e9384c9d137f0ab65ffc5a78f04cd8c9df6c8b7,NONE,none,e
4f0102cdc27216fd9bcdb9663db728d2ccd8ca6d,NONE,none,e
4f2a7e0172f0214f025f23845f6e053d0ffd28e8,NONE,none,e
4f3114e96d7b892911e3dccf1eece712be26f396,NONE,none,e
5029cf47031b22bd5d1f68ebfd3be6d6da56dfe9,NONE,none,e
5380e913d8dac23470446844cab21f6921101af8,ASCII16,none,e
54f919148673fa540f987e6db85d85baa45bd17b,NONE,none,e
558b7383544542cf7333700ff90c3efbf93ba2a3,NONE,none,e
55f30c8b7118870802d00db860bc1945f18a42c0,MIRRORED,none,j
565143f7c6fe0ffa12ec3069048113f44759d91a,NONE,none,e
583cda86979ff4cd1eef75e79c7fda96e425317a,NONE,none,e
58ac78bba29a06645ca8d6a94ef2ac68b743ad32,NONE,none,e
58accf41a90693874b86ce98d8d43c27beb8b6dc,NONE,none,e
58ba1887e8fd21c912b6859cae6514bd874ffcca,NONE,none,e
59967765d6e9328909dee4dac1cbe4cf9d47d315,NONE,none,e
5a4e7dbbfb759109c7d2a3b38bda9c60bf6ffef5,NONE,none,e
5aff2d9b6efc723bc395b0f96f0adfa83cc54a49,NONE,none,e
5b39c1ccd3a213b78e02927f56a9abc72cd8c28d,NONE,none,e
5b496df8bd55c563aed1b4ae163271afa76db367,NONE,none,e
5c1f9c7fb655e43d38e5dd1fcc6b942b2ff68b02,NONE,none,e
5c5eb001e6a1fe29edb7abd428a3967bb388e5db,NONE,none,e
5d2186658adcf4ce0c2d3232384b5712341108e5,NONE,none,e
5df95d033ae70b107697b69470126ce1b7ae9eb5,NONE,none,e
5e094fca95ab8e91873ee372a3f1239b9a48a48d,NONE,none,e
5e1785e871f44c3b1a4ee26acb7f1c7bdc35de6b,KONAMI_SCC,none,e
5e7c8eab238712d1e18b0219c0f4d4dae180420d,NONE,none,e
5e872d5853698731a0ed22fb72dbcdfd59cd19c3,NONE,none,e
5efae0c1493eae286ad306071e20eb8a4e4869f4,RTYPE,none,j
605f5af3f358c6811f54e0173bad908614a198c0,NONE,none,e
607cfca605eaf82e3efa33459d6583efb7ecc13b,NONE,none,e
6103b39f1e38d1aa2d84b1c3219c44f1abb5436e,NONE,none,e
63098f27beac9eca6b39d837d2a552395df33fe1,NONE,none,e
632ef250c76b222158ba90dfc68b9e004dbafe3a,MIRRORED,basic,j
6354ccc5c100b1c558c9395fa8c00784d2e9b0a3,NONE,none,e
63d4e39c59f24f880809caa534d7a46ae83f4c9f,ASCII16,none,e
6442c1c5cece64c6dae90cc6ae3675f070d93e06,NONE,none,e
65253cb38ab11084f355a2d4ad78fa6c64cbe660,NONE,none,e
663f8c512d04d213fa616b0db5eefe3774012a4b,NONE,none,e
665d805f96616e1037f1823050657b7849899283,NONE,none,e
6844758ff5c2c410115d4d7cf12498c42e931732,KONAMI_SCC,none,e
6856a13b67750d36c4c466d30472dc5465879bbf,MIRRORED,none,e
689aea39b9c1112bfb8db239f9be48f245ed8618,NONE,none,e
69bf27b610e11437dad1f7a1c37a63179a293d12,NONE,none,e
6aa856cc56eb98863c9da7a566571605682b5c6b,NONE,none,e
6acaf2eeb57f65f7408235d5e07b7563229de799,NONE,none,e
6aea1aef5ec31c1826c22edf580525f93baad425,NONE,none,e
6d3a530ae822ec91f6444c681c9b08b9efadc7e7,NONE,none,e
6e1408b25b880ad275f01d591a36720b8a14cfc5,KONAMI_SCC,none,e
6e2e5cff4ee4dd935fbe6684f2c54b39eca06092,NONE,none,e
6e55cfc48d0d6ee57b041cb09427f614fb6a1910,NONE,none,e
6e5acdfb1c1610257a7aabf3d5aa858866dbcf2e,KONAMI_SCC,none,e
6e6b8cdc55713eabc724f3ec9624e9884254ab33,NONE,none,e
6fefbe448674b6ea846d0c6b9c8a0d57a11aa410,ASCII16,basic,j
7013fcf8c76bc610cec9f55fbb99374182641251,MIRRORED,basic,j
706dd67036baeec7127e4ccd8c8db8f6ce7d0e4c,NONE,none,e
72fccb4ec1889db05fe815b43857b18e818bf917,NONE,none,e
7393f677e0fae5fc83071c6b74756117b7d75e2d,KONAMI_SCC,basic,e
73f5f868193a9c8ecc7614ce4f454b4329b9e1b9,NONE,none,e
7691a5f4d7931d792abc56a58f31760ad5416be1,NONE,none,e
770805bd0be8b09a3be10030060d6ad8dc07d1c3,NONE,none,e
77339a6db2593aadc638bed77b8e9bed5d9d87e3,NONE,none,e
77bd67d5d10d459d343e79eafcd8e17eb0f209dd,NONE,none,e
77caeccd08eb558b727350fdd278ab0d7315e968,RTYPE,none,j
78cd7f847e77fd8cd51a647efb2725ba93f4c471,NONE,none,e
792e6b2814ab783d06c7576c1e3ccd6a9bbac34a,NONE,none,e
7a4126934f9e68c34bf00dd3d9a9e753c05ee73f,ASCII16,none,e
7b1798561ee1844a7d6432924fbee9b4fc591c19,NONE,none,e
7b4a96402847decfc110ff9eda713bdcd218bd83,NONE,none,e
7b94a728a5945a53d518c18994e1e09a09ec3c1b,ASCII8,none,e
7bba23669b7abfb6a142f9e1735b847d6e4e8267,NONE,none,e
7d8daf52f78371ca2c9443e04827c8e1f98c8f2c,NONE,none,e
7de755f98b6a68886e61473d524d0aa6ab6577d7,NONE,none,e
7ed7c55e0359737ac5e68d38cb6903f9e5d7c2b6,NONE,none,e
7f5b76605e3d898cc4b5aacf1d7682b82fe84353,NONE,none,e
829c00c3114f25b3dae5157c0a238b52a3ac37db,NONE,none,e
849f93867ff7846b27f84d0be418569faf058ac2,NONE,none,e
84a645becec0a25d3ab7a909cde1b242699a8662,NONE,none,e
8557dcdb4cf1e15180d17acc8e6d515bf7bf7e7c,ASCII8,basic,j
8779b004e7605a3c419825f0373a5d8fa84e1d5b,NONE,none,e
87936f808423dddfd00629056d6807b4be1dc63e,NONE,none,e
87f4d0fa58cfe9cef818a3185df2735e6da6168c,NONE,none,e
8948704bad9ff27873fa9ccd0ef89868e2bd6479,NONE,none,e
8963fc041975f31dc2ab1019cfdd4967999de53e,NONE,none,e
8a30abe5ffef810b0f99b86db38b1b3c9d259b78,NONE,none,e
8afd1ec5843ecfdcbff11497fa8c55b870c0c6f5,NONE,none,e
8cc1f7ceeef745bb34e80253971e137213671486,NONE,none,e
8d142e4fe476f27e46a2129199194f5b3cc70370,NONE,none,e
8e0d4a77e7d5736e8225c2df4701509363eb230f,NONE,none,e
8f35c41a5235dec22c3b99cd6dd63cfda0a7a821,MIRRORED,none,j
914f6ccb25d78621186001f2f5e2aaa2d628cd0c,NONE,none,e
917d1c079e03c4a44de864f123d03c4e32c8daae,NONE,none,e
931d6318774bd495a32ec3dabf8d0edfc9913324,NONE,none,e
933719a975a62395068b0a251dd4395b67217630,NONE,none,e
935cc7e682a3f99003d70245e9becd7bb157b206,KONAMI_SCC,none,e
93d4d352b73c3d2e68ceaa3175b9af7f94780eba,NONE,none,e
9425815446d468058705bae545ffa13646744a87,NONE,none,e
942f9507d206cd8156f15601fe8032fcf0e3875b,NONE,none,e
945d91ac6285dacaf123a9535dc740ad65bd06d5,NONE,none,e
95ae5b3e24ad0bea21902cb7dfd3fd9581166a76,PAGE2,basic,e
95de8809d2758fc0a743390ea5085b602e59e101,NONE,none,e
95fe138745f5e627b021085c7e4629a6dfe6f93a,NONE,none,e
965f4982790f1817bcbabbb38c8777183b231a55,NONE,none,e
96c84bfc2756313a6a2e1d09319f4aa85e815127,RTYPE,none,j
975fdf521c08030896eb50af4f39a23500eaf7ac,NONE,basic,e
977fed1135b6cc73e765b47f51570fc00acd5b79,NONE,none,e
97ce59892573cac3c440efff6d74c8a1c29a5ad3,NONE,none,e
981da5fe3a4cc1ed4b06da8ba34f7eff17f868c1,ASCII8,basic,j
98bbfa3ab07b7a5cad55d7ddf7cbd9440caa2a86,NONE,none,e
99a40266bc296cef1d432cb0caa8df1a7e570be4,NONE,none,e
9b6cb224f2a7a4af69221f1280d3344a5c88450e,RTYPE,none,j
